Last Update Date,Current Task Name,Academic Year,Sport,Name of your institution:,University ID:,"Upload Agreement (text, DM, email, contract, etc)",Name of business or location of event,Name of your point of contact at the business:,Phone Number for your point of contact:,Email Address for your point of contact:,Type of Endorsement:,Please describe other,"Date(s) of activity (i.e. what date range will you post the tweet(s), when will the appearance be?):","If social media, please include the platform (twitter, instagram, tik tok, etc) and handle/account name:","How many posts will you be utilizing, please explain",Method of Payment (Select All That Apply):,Please describe other,"Proposed Payment Amount (i.e. $5 per post, $500 per appearance, etc.):"
8/13/21 14:29,Approved,2021-22,Men's Water Polo,	UC Santa Barbara,,Screen Shot 2021-08-13 at 11.08.55 AM.png,	Guyaki,,,,	Other,	Spread the company through handing out product,8-13-21,,,	Other,	no payment,$0
8/23/21 11:43,Approved,2021-22,Baseball,	UC Santa Barbara,,PopID (Athlete) .pdf,	POP ID,,,,	Social Media,,	Once a week on Instagram,	Instagram,	Mainly will be posting once a week on my instagram story promoting the product.,	Other,	Store credit,	$500 altogether
8/23/21 17:38,Approved,2021-22,Baseball,	UC Santa Barbara,,HPSCAN_20210823230712776_2021-08-23_230816242.pdf,	Poppay,,,,	Social Media,,	twice a week,,	2 posts twice a week on instagram,	Venmo (or other electronic payment),,	500$ in Poppay credits
9/8/21 9:04,Approved,2021-22,Baseball,	UC Santa Barbara,,IMG_6809.jpg,	Bucked up,,,,	Social Media,,	Twice a month,,	Twice a month on instagram,"	Product,Other","	If someone uses my discount code, I get money",	10% bonus of what is purchased with my discount code
9/16/21 11:15,Approved,2021-22,Women's Swimming & Diving,	UC Santa Barbara,,IMG_0236.PNG,	Jolyn Clothing,,,,	Social Media,,	09/20-06/20,	instagram,	As many as they need to endorse the products.,	Venmo (or other electronic payment),,"	no idea, commission"
9/24/21 10:07,Approved,2021-22,Women's Basketball,	UC Santa Barbara,,DCD66C4D-3A44-491A-8637-B81892AD317C.png,	Phoenix Gymwear,,,,	Social Media,,	September ‘21 - March ‘22,	Instagram,	~ 2/week,	Venmo (or other electronic payment),,"	Free clothing
10% commission"
9/28/21 8:47,Approved,2021-22,Men's Soccer,	UC Santa Barbara,,Cuts Athete Ambassador Program.jpg,	Cuts Clothing,,,,	Social Media,,	Every 2 months,	Instagram,	1 Instagram-feed post and 1 story post per every 2 months,	Product,,	Recieve a complementary gift box (containing 3 shirts and 1 sweatshirt) every 2 months in exchange for 1 Instagram-feed post and 1 story post.
9/29/21 8:10,Approved,2021-22,Women's Volleyball,	UC Santa Barbara,,Screen Shot 2021-09-28 at 7.37.13 PM.png,	Celsius,,,,	Social Media,,	every month,,"	Required to post 1 main feed + 2 story posts on Instagram each month to receive 1 free case of CELSIUS
All feed posts must include two hashtags: #CELSIUSAmbassador and #CELSIUSLiveFit (or #CELSIUSHEAT when posting HEAT product)
All feed posts and story posts must tag @celsiusofficial (main feed posts must tag in photo and caption)
Complete monthly challenges to earn extra points to receive more product or swag.
Use the point system to redeem your monthly product and swag items.
Maintain brand loyalty on social by only posting CELSIUS and no other energy/fitness drink competitors, BCAA or energy drinks/supplements
Represent CELSIUS in good light, maintaining a healthy, fit, and active persona and only speaking positively about the product and brand.",	Product,,	A case of product every month
9/30/21 13:34,Approved,2021-22,Men's Swimming & Diving,	UC Santa Barbara,,IMG_2FCF7176638E-1.jpeg,	Poppay Isla Vista,,,,	Social Media,,	2021-2022 school year,,	weekly-ish posts of me using poppay service,	Venmo (or other electronic payment),	venmo,	500$ in poppay credit to use at poppay kiosks
9/30/21 13:36,Approved,2021-22,Men's Swimming & Diving,	UC Santa Barbara,,Screen Shot 2021-09-30 at 1.32.49 PM.png,	Guayaki,,,,	Other,	ambacedor,	2021-2022 school year,,,	Product,,	free access to cases of guayaki yerba mate (5 cases at a time valued at 30-40 dollars a case)
10/1/21 9:56,Approved,2021-22,Baseball,	UC Santa Barbara,,Sponsorship Agreement - Sweet Pea.pdf,	Enclave & Key,,,,	Social Media,,	Once per month. First of every month.,	Instagram,	4 story posts and 1 feed post per month,	Venmo (or other electronic payment),,	100$ per month
10/1/21 10:42,Approved,2021-22,Baseball,	UC Santa Barbara,,Screen Shot 2021-10-01 at 10.39.24 AM.png,	Guayaki,,,,	Other,	Free Product,	N/A - no appearances,,,	Other,	no payment,0
10/7/21 10:33,Approved,2021-22,Men's Water Polo,	UC Santa Barbara,,Uptime Energy_ 98Strong Compliance Form .pdf,	Uptime energy,,,,	Social Media,,October 12,	Instagram: ,"	1 post, 1 story",	Venmo (or other electronic payment),,	50$ 1 time payment
10/7/21 12:32,Approved,2021-22,Women's Basketball,	UC Santa Barbara,,gopuff agreement .JPG,	gopuff,,,,	Social Media,,	now- march,	instagram ,	I will be posting a link with my code to get a iscount using go puff and also orders that I make using it so followers can see the items they have.,	Product,,	free items when others use my code to purchase items
10/8/21 19:41,Approved,2021-22,Men's Track,	UC Santa Barbara,,Screen Shot 2021-10-08 at 3.20.36 PM.png,	LiquidIV,,,,	Social Media,,"	3 times a month, whenever",,"	3 times a month, and tag the company",	Product,,	I will recieve a package once a month with their product as long as I post 3 times a month
10/13/21 13:15,Approved,2021-22,Women's Soccer,	UC Santa Barbara,,For The Culture Influencer Agreement Final.pdf,	For The Culture Clothing,,,,	Social Media,,	from September 2021 to September 2022,	,	I will post four posts on my Instagram that include a clothing item from this company within the span typed above,"	Venmo (or other electronic payment),Check",,	15% of Company's net receipts actually received in connection with the Promo Purchases
10/18/21 0:04,Approved,2021-22,Baseball,	UC Santa Barbara,,Screen Shot 2021-10-16 at 12.30.21 PM.png,	Liquid IV,,,,	Social Media,,10/16/21,,	2-3x a month to qualify for restock,	Other,	no payment,	na
10/19/21 0:56,Approved,2021-22,Baseball,	UC Santa Barbara,,Screenshot 2021-10-18 at 20-29-08 Welcome to the Liquid I V Family - jessadab gmail com - Gmail.png,	Liquid IV,,,,	Social Media,,10/16/2021,	Instagram,	one,	Product,,	None
10/19/21 0:56,Approved,2021-22,Baseball,	UC Santa Barbara,,Uptime Energy_ 98Strong Compliance Form .pdf,	Andrew,,,,	Social Media,,	10/18/2021-10/18/2022,	Instagram,	One instagram story post and one regular instagram post,	Other,	Product and Money,	$50 for the two posts
10/19/21 13:55,Approved,2021-22,Men's Track,	UC Santa Barbara,,Screen Shot 2021-10-19 at 11.24.24 AM.png,	C4 Energy / Cellucor / Xtend,,,,	Social Media,,	Tuesday Oct 19th,	Instagram ,	Story Post,"	Product,Other",	Commission based on sales using my discount code,	20% of each purchase
11/4/21 15:18,Approved,2021-22,Women's Volleyball,	UC Santa Barbara,,IMG_0301.PNG,	Beat Athletica,,,,	Social Media,,	once a month,	isntagram,	When a new package comes with new items I will post in them.,	Product,,	0$ per post
11/5/21 9:30,Approved,2021-22,Women's Volleyball,	UC Santa Barbara,,PopID (Athlete) - Haley Schroeder.pdf,	PopPay,,,,	Social Media,,	1x/week,	Instagram/Instagram stories,	1x/week,	Product,,	One payment of $500 through Fall of 2021
11/5/21 9:30,Approved,2021-22,Baseball,	UC Santa Barbara,,Liquid IV Agreement.pdf,	Liquid IV,,,,	Social Media,,	2 times a month on my Instagram story,	Instagram,	2 story posts per month,	Product,,	Around $30 in products per month
11/5/21 9:31,Approved,2021-22,Women's Water Polo,	UC Santa Barbara,,Screen Shot 2021-11-04 at 4.29.10 PM.png,	Liquid IV,,,,	Social Media,,	any time twice a month,	instagram ,	I just have to post 2 stories twice a month in order to get free liquid iv and use my discount code,	Product,,	5 packages of liquid IV per month for every two posts
11/5/21 9:31,Approved,2021-22,Women's Track,	UC Santa Barbara,,Screen Shot 2021-11-04 at 5.37.14 PM.png,	Liquid I.V.,,,,	Social Media,,	2-3 times per month,	Instagram,	2-3 posts a month where I tag Liquid I.V. either in a story mention or Instagram post,	Product,,	$40/month
11/5/21 9:31,Approved,2021-22,Baseball,	UC Santa Barbara,,Welcome to the Liquid I.V. Family!.eml,	Liquid I.V.,,,,	Social Media,,"	October 18, 2021 & November 1, 2021",	Instagram,I will be posting 2-3 pictures on my Instagram a month of me showing how I use liquid I.V. in my day and trying to promote my followers on using my discount code to purchase Liquid I.V.,	Other,	Not being paid,$0
11/5/21 12:48,Approved,2021-22,Women's Soccer,	UC Santa Barbara,,Screen Shot 2021-11-05 at 12.18.30 PM.png,	Liquid IV,,,,	Social Media,,	2-3 times a month,	Instagram,	2-3 per month advertising the products/company,	Product,,	about $50-100 in products
11/8/21 8:48,Approved,2021-22,Women's Track,	UC Santa Barbara,,Welcome to the CELSIUS Brand Ambassador Program!.eml,	Celsius,,,,	Social Media,,	2021-2022,	Instagram,	2 per month,	Product,,	A case of the drink per month
12/2/21 12:27,Approved,2021-22,Men's Basketball,	UC Santa Barbara,,IMG-3354.PNG,	Suerox,,,,	Social Media,,	post on instagram,,	one post,	Other,	didn't get money,	didn't get paid anything
12/2/21 13:05,Approved,2021-22,Men's Basketball,	UC Santa Barbara,,IMG-3356.PNG,	moku foods,,,,	Social Media,,	Doesnt matter just have to post them once,,	one,	Other,	no money,	did not get money
12/2/21 13:05,Approved,2021-22,Men's Basketball,	UC Santa Barbara,,IMG-3357.PNG,	Qcollar,,,,	Social Media,,	whenever,,	One or if i ever wear it,	Other,	no money involved,	no money involved
12/8/21 12:57,Approved,2021-22,Women's Track,	UC Santa Barbara,,Screenshot 2021-12-08 125157.jpg,"	TYR Sport, Inc.",,,,	Social Media,,	present-Jan 1 2021,,	1 video post and 1 image post on instagram performing a physically exerting outdoor activity emphasizing that the sunglasses do not fall off my face.,	Product,,	$100 pair of sunglasses
2/14/22 11:31,Approved,2021-22,Women's Track,	UC Santa Barbara,,Screen Shot 2022-02-14 at 11.14.00 AM.png,	Enhanced Performance Nutrition,,,,	Social Media,,	3-4 times/month,	instagram,	3-4 posts/month about the product and my usage of it on instagram,	Venmo (or other electronic payment),,	25% commission on products sold using my code
4/5/22 8:58,Approved,2021-22,Baseball,	UC Santa Barbara,,Term Sheet.pdf,	Stance,,,,	Social Media,,3/29/22,	Instagram,	One post in exchange for product,	Product,,$0
6/29/22 22:40,Approved,2022-23,Men's Volleyball,	UC Santa Barbara,,LIV NIL.pdf,	Liquid IV,,,,	Social Media,,	monthly,	instagram,	2 a month,	Product,,0
8/15/22 10:03,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,Blueprint New Athlete.pdf,	1014 via los padres,,,,	Appearance without autographs,,	July 14th,,,	Check,,$500
8/19/22 13:25,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,0AEB66BC-2400-42F8-8BBF-3E6BFCED1FC2.jpeg,	Sheldon Household,,,,	Appearance without autographs,,	N/A,,,	Venmo (or other electronic payment),,"1,000$"
8/19/22 13:35,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Fire Station 17.docx.pdf,	fire station,,,,	Other,	volunteering at the fire station,8-17-22,,,	Venmo (or other electronic payment),	direct deposit,	Not sure yet
8/22/22 10:23,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,397E43B8-06C6-4DF1-A49D-1E2CFFEE080A.jpeg,	Blue,,,,	Appearance without autographs,,	Appearance at fire station,,,	Other,	Direct deposit,"1,000"
8/22/22 14:06,Approved,2022-23,Women's Swimming & Diving,	UC Santa Barbara,,Yerba Mate.PNG,	Guayaki Ambacebador (Yerba Mate),,,,	Other,	On their Ambacebador app that only members can utilize.,	I have full authority when to post on the app at any time.,,,	Other,"	I haven't yet received anything, but I believe they give out free Yerba Mates to those who contribute the most on the app, meaning posting about the beverages the most.",	none.
8/22/22 14:10,Approved,2022-23,Women's Swimming & Diving,	UC Santa Barbara,,Deep End Official.PNG,	Deep End Official,,,,	Social Media,,"	Activity is not frequent, more so every month or every other month with just an Instagram story post with a discount code.",	Instagram,"	About one Instagram story post every month or every other month, depends on when the brand comes out with discount codes to post and share about. They send one free piece of clothing of my choice and I post the discount codes with the piece of clothing on a certain date.",	Product,,	One piece of clothing of choice each time they ask for an Instagram story post and the given discount code.
8/22/22 14:10,Approved,2022-23,Women's Swimming & Diving,	UC Santa Barbara,,Vuori.PNG,	Vuori,,,,	Social Media,,	I have authority when to post about the brand.,	Instagram,"	I am not sure, not a lot though. So far, I only have one post about them on my Instagram.",	Other,	I get a 40% discount on all purchases I make for myself and for myself only.,	none.
9/26/22 8:50,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH Homeless.docx.pdf,	PATH,,,,	Appearance without autographs,,9/22/22,,,	Other,	direct deposit,2000
9/26/22 10:44,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH_Homeless.docx.pdf,	PATH Homeless Shelter,,,,	Appearance without autographs,,9/21/22,,,	Other,	Bank account wire,	$500 for appearance
9/26/22 10:44,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB_Fire_Station_17.docx.pdf,	SB Fire Station 17,,,,	Appearance without autographs,,8/16/22,,,	Venmo (or other electronic payment),,	$500 for appearance
9/26/22 11:56,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Fire Station 17.docx.pdf,	SB Fire Station,,,,	Appearance without autographs,,8/16/22,,,	Other,	deposit,"$1,000"
9/26/22 11:56,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB_Kickoff_Tier_1.docx.pdf,	Sheldon House,,,,	Appearance without autographs,,7/15/2022,,,	Venmo (or other electronic payment),,500
9/26/22 11:57,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH_Homeless.docx.pdf,	Homeless Shelter,,,,	Appearance without autographs,,9/22/2022,,,	Venmo (or other electronic payment),,500
9/26/22 11:58,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH Homeless.docx.pdf,	PATH,,,,	Other,	Public Service,9/23/22,,,	Other,	Deposit,"$1,000"
9/26/22 11:58,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,Please_DocuSign_PATH_Homelessdocx.pdf,	Path homeless shelter,,,,	Other,	homeless shelter volunteering,	no tweets involved or any social media,,,	Venmo (or other electronic payment),,800
9/26/22 11:58,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB_Fire_Station_17.docx.pdf,	Firestation,,,,	Other,	Appearance,8/17/2022,,,	Venmo (or other electronic payment),,500
9/27/22 8:57,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH Homeless.docx.pdf,	Path Homeless Shelter,,,,	Other,	Team event,9/11/22,,,	Venmo (or other electronic payment),,	$500 per event
9/27/22 8:58,Approved,2022-23,Women's Volleyball,	UC Santa Barbara,,IMG_0489.PNG,	OLIPOP,,,,	Social Media,,	09/26/22-9/29/22,	Instagram,	1 Instagram post and 1 Instagram Story Post,	Other,	$50 cash and $50 worth of product,	$50 cash and $50 worth of product
9/27/22 8:58,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Kickoff Tier 1.docx.pdf,"	1014 Via Los Padres, Santa Barbara, California 93111",,,,	Autograph Session,,7/14/22,,,	Venmo (or other electronic payment),,$500
9/27/22 8:59,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Fire Station 17.docx.pdf,	SB Fire Station,,,,	Appearance without autographs,,8/16/22,,,	Venmo (or other electronic payment),,$500
9/28/22 14:25,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Kickoff Tier 1.pdf,	UCSB,,,,	Other,	NA,7/14/2022,,,	Venmo (or other electronic payment),	NA,"1,000"
9/29/22 12:33,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB_Fire_Station_17.docx.pdf,	Santa Barbara Fire Station,,,,	Appearance without autographs,,	August 16th,,,	Venmo (or other electronic payment),,"5,000"
9/29/22 12:39,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH_Homeless.docx.pdf,	Path Homeless Shelter,,,,	Appearance without autographs,,September 21,,,	Venmo (or other electronic payment),,"5,000"
9/30/22 11:10,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign_SB_Fire_Station_17docx.pdf,	Fire station sb,,,,	Appearance without autographs,,	August 16th 2022,,,	Other,	Direct deposit,"1,000"
9/30/22 11:10,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,Please_DocuSign_PATH_Homelessdocx.pdf,	Path,,,,	Other,	Helping the homeless and feeding them,9/22/2022,,,	Other,	Direct deposit,1000
9/30/22 11:12,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DA24DAAC-16F2-458A-B8CD-CB5355C5D85E.jpeg,	SB fire station,,,,	Appearance without autographs,,	August 8th,,,	Venmo (or other electronic payment),,	1000 per appearance
9/30/22 11:12,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,9119A713-2C5D-4DBC-84F4-9F582DC8EE8B.jpeg,	Path,,,,	Appearance without autographs,,	SEPTEMBER 19th,,,	Venmo (or other electronic payment),,	1000 per appearance
9/30/22 11:54,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,Complete with DocuSign: AjayMitchellPersonalServicesAgreement.pdf,	Blueprint sports,,,,	Other,	Social media post and autographs in Belgium,	June 2022-March 2023,,,	Other,	International bank,"	5000 predetermined autograph items 
5000 per social media post"
9/30/22 11:54,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,NIL event 1.png,	Sheldon Family Household,,,,	Appearance without autographs,,"July 14, 2022",,,	Venmo (or other electronic payment),,	$500 for appearance
9/30/22 11:55,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,PATH Homeless.docx.pdf,	PATH,,,,	Other,	Volunteer,9/22/22,,,	Check,,$800
9/30/22 11:55,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Fire Station 17.docx.pdf,	Santa Barbara Fire Station,,,,	Appearance without autographs,,August 16,,,	Other,	Direct Deposit,2000
9/30/22 11:55,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Kickoff Tier 1.docx.pdf,	SB Kickoff,,,,	Appearance without autographs,,July 14,,,	Other,	Direct Deposit,"$2,000"
9/30/22 12:12,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Fire Station 17.docx.pdf,	SB fire station,,,,	Appearance without autographs,,"August, 17,2022",,,"	Venmo (or other electronic payment),Check",,$800
9/30/22 12:12,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Kickoff Tier 1.docx.pdf,	House,,,,	Appearance without autographs,,"July 14,2022",,,	Venmo (or other electronic payment),,$800
9/30/22 12:25,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign: SB Fire Station 17.pdf,	Isla Vista Fire Station,,,,	Appearance without autographs,,"August 8, 2022",,,	Check,,$800
9/30/22 12:25,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,Please DocuSign: PATH Homeless.pdf,	Path Homeless Shelter,,,,	Appearance without autographs,,"September 22, 2022",,,	Check,,$800
9/30/22 12:27,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Kickoff Tier 1.docx.pdf,	connecting with donors as a team,,,,	Appearance without autographs,,	no social media involved,,,	Venmo (or other electronic payment),	Zelle,800
9/30/22 13:36,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign – SB Gold & Blue Terms & Conditions.pdf,	Max Sheldon’s House,,,,	Appearance without autographs,,"July 14, 2022",,,	Check,,$800
9/30/22 13:42,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,9ABA22D0-4BC8-4E90-924D-07400A8A9895.jpeg,	Sheldon Household,,,,	Appearance without autographs,,	July 14th,,,	Venmo (or other electronic payment),,	1000 per appearance
10/3/22 9:21,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,9278D951-5C6D-4282-A28D-59F19CB45930.png,	SB fire station,,,,	Appearance without autographs,,	August 16th,,,	Venmo (or other electronic payment),,	500 per appearance
10/3/22 9:21,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,9DB2C560-03A4-4BAD-8412-E390D9D8C79F.png,	Sheldon Household,,,,	Appearance without autographs,,	July 14th,,,	Venmo (or other electronic payment),,	500 per appearance
10/3/22 9:21,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,14E6C796-49F1-41D7-8950-E7188DD46825.png,	Path,,,,	Appearance without autographs,,	September 19th,,,	Venmo (or other electronic payment),,	500 per appearance
10/3/22 11:39,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Kickoff Tier 1.docx.pdf,	Blueprint,,,,	Other,	Social,7/13,,,	Other,	Dposit,"$1,000"
10/3/22 14:05,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign_–_SB_Gold__Blue_Terms__Conditions.pdf,	blue print sports,,,,	Appearance without autographs,,7/18/2022,,,"	Venmo (or other electronic payment),Other",	Direct deposit,1000
10/19/22 9:09,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign_SB_BG_Club_Octoberdocx.pdf,	632 E. Canon Perdido,,,,	Outside Camp,,10/19/2022,,,	Venmo (or other electronic payment),,$500
10/19/22 10:06,Approved,2022-23,Women's Basketball,	UC Santa Barbara,,NIL Proposal .PNG,	Boost Mobile,,,,	Social Media,,10/22,"	instagram , twitter","	1 post to Twitter, 1 post to Instagram",	Venmo (or other electronic payment),,"	$400 for an Instagram post, $70 for Twitter post"
10/20/22 10:37,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB B&G Club October.docx.pdf,	SB Boys and Girls Club,,,,	Appearance without autographs,,10/19/22,,,	Other,	Direct Deposit,"$1,600"
10/20/22 10:48,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign_SB_BG_Club_Octoberdocx.pdf,	Boys and Girls Club,,,,	Appearance without autographs,,10/19/22,,,	Venmo (or other electronic payment),,400
10/20/22 11:07,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB B&G Club October.docx.pdf,	Boys and Girls Club of Santa Barbara,,,,	Appearance without autographs,,10/19/22,,,	Venmo (or other electronic payment),,	1000 for the appearance
10/24/22 13:34,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB B&G Club October.docx.pdf,	SB Boys and Girls Club,,,,	Other,	Volunteer,10/19/22,,,	Other,	Deposit,"$1,000"
10/25/22 11:24,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB_B&G_Club_October.docx.pdf,	SB Boys and Girls Club,,,,	Appearance without autographs,,10/19/2022,,,	Venmo (or other electronic payment),,	$500 for appearance
11/3/22 14:40,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,904BD534-B99D-4821-ACE8-9DDB59D73E96.png,	Blueprint Sports,,,,	Other,	Volunteering Events,"October 19, 2022",,,	Venmo (or other electronic payment),	N/A,	1000 per appearance
11/14/22 14:11,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB B&G Club October.docx (1).pdf,	Boys and Girls Club,,,,	Appearance without autographs,,"October 18, 2022",,,	Other,	Direct Deposit,"$2,000"
11/16/22 8:48,Approved,2022-23,Women's Basketball,	UC Santa Barbara,,E1420C6F-96C2-4FEA-B7A9-66E4EF5EF4AC.png,	Clutch lifestyle Co,,,,	Social Media,,	11/16-6/1,,	Probably 1 or 2,	Product,,	Their clothing for free once people use my discount code
11/18/22 8:45,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign_SB_Thanksgiving_Dinner_(BPS)docx.pdf,	Boys and Girls Club,,,,	Appearance without autographs,,11/16/22,,,	Venmo (or other electronic payment),,500
11/18/22 11:37,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,DocuSign_SB_Thanksgiving_Dinner_(BPS)docx.pdf,	Boys and Girls Club,,,,	Outside Camp,,11/16/22,,,	Venmo (or other electronic payment),,	500 for event
11/23/22 15:01,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Thanksgiving Dinner (BPS).docx.pdf,	Goleta Boys and Girls Club,,,,	Other,"	Serving Food, Autographs, Pictures",11/16,,,	Other,	Direct Deposit,"$1,000"
12/5/22 8:53,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB Thanksgiving Dinner (BPS).docx.pdf,	Boys and girls club thanksgiving event,,,,	Appearance without autographs,,"November 16, 2022",,,	Venmo (or other electronic payment),,800
12/15/22 10:52,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB B&G Club December.docx.pdf,	Boys and girls club Goleta appearance,,,,	Appearance without autographs,,12/13/22,,,	Venmo (or other electronic payment),,1000
