Sport Type,Transaction ID,Transaction Type,Cost,Payment Type,Vendor Name,Vendor Point of Contact,Submitted Date
Gymnastics (Womens),Referral Link For Athletic Clothing,Social Media,$0.00,cash,Active Faith Sports,Active Faith Sports Affiliate Program,11/12/2021
Soccer (Womens),Promotioon,Social Media,$64.99,product,Liquid IV,Caroline Friis,11/17/2021
Business,VKTRY PERFORMANCE INSOLES,Social Media,"$2,500.00",cash,VKTRY PERFORMANCE INSOLES,Tyler Jarecki,11/4/2021
Gymnastics (Womens),SSEC Agency Signing,Representation Disclosure,$0.00,cash,SSEC Agency,Alex Broers,11/23/2021
Basketball (Mens),Jaybird Earphones,Social Media,$200.00,product,98Strong,Andrew Mavis,11/2/2021
Basketball (Mens),Brand Endorsement,Social Media,$200.00,product,SimplyHeat,Trace Teague,11/3/2021
Swimming/Diving (Womens),Jolyn Collegiate Program,Social Media,$200.00,cash,Jolyn Swimwear,Victoria Unger,10/26/2021
Gymnastics (Womens),bondiboost,Social Media,$50.00,product,bondiboost,sophia,10/29/2021
Rugby (Mens),Sayless Lifestyle Influencer Program,Representation Disclosure,$10.00,cash,Sayless Lifestyle,Eddie & Trenten Scott,11/23/2021
Gymnastics (Womens),Ozone Contract Signed,Representation Disclosure,"$1,000.00",cash,Ozone,Nicole Radon,10/22/2021
Volleyball (Beach),Barstool Athlete,Social Media,$90.00,product,Barstool Sports,Daveportnoy,10/23/2021
Volleyball (Beach),Uptime Energy,Social Media,$50.00,cash,Uptime Energy,Zach Rosen,10/23/2021
Gymnastics (Womens),Kinder Beauty,Social Media,$122.00,product,Kinder Beauty,Kellie Danial,10/21/2021
Swimming/Diving (Womens),App,Social Media,$70.00,product,Restoic,Ian Gulbransen,10/20/2021
Basketball (Mens),Fort Myers Endorsement,Social Media,$0.00,cash,Fort Myers,N/A,9/27/2021
Volleyball (Womens),Social media post,Social Media,$50.00,cash,98Strong,Andrew Mavis,10/14/2021
Swimming/Diving (Womens),Suja Juice Influencer,Social Media,$50.00,product,Suja,Klear,10/14/2021
Swimming/Diving (Womens),Suja Juice influencer,Social Media,$50.00,product,Suja,Klear,10/14/2021
Soccer (Mens),Playbooked Campaign,Social Media,$200.00,cash,Playbooked,Ken Konecki,10/15/2021
Basketball (Mens),Drink Sponsorship,Social Media,$50.00,cash,Uptime Energy,Andrew Mavis,10/13/2021
Lacrosse (Womens),Liquid IIV Athlete,Social Media,$100.00,cash,Liquid IV,Kristen Gorman,10/13/2021
Soccer (Womens),Paid Partnership,Social Media,$70.00,product,Corkcicle,Village Marketing,10/14/2021
Lacrosse (Womens),Liquid IV Shipment,Social Media,$108.00,product,Liquid IV,Caroline Friis,10/12/2021
Cross Country,Modelling,Other,$100.00,cash,Muse Model Management,Krista Vawter,9/30/2021
Lacrosse (Womens),Rowing Blazers Athlete,Social Media,$50.00,product,Rowing Blazers,n/a,10/7/2021
Basketball (Mens),Players Trunk,Other,$0.00,cash,Players Trunk,Jason Lansing,10/5/2021
Basketball (Mens),Joel Brown,Other,$0.00,cash,The Player Trunk,Jack,9/4/2021
Swimming/Diving (Mens),Partnership,Social Media,"$5,000.00",cash,Aqua Knuckles,Margaret O'Rourke,9/30/2021
Swimming/Diving (Mens),Social Media Posts,Social Media,$120.00,product,Vitargo,Bill Julian,9/30/2021
Gymnastics (Womens),App Influencer,Social Media,$0.00,cash,Akrü,Zach Hunsaker,10/2/2021
Gymnastics (Womens),Gifted Makeup,Social Media,$80.00,cash,Too Faced,Elsa Guillen,10/2/2021
Basketball (Mens),T Shirt,Other,$41.93,cash,The Players Trunk,Jason Lasing,9/28/2021
Basketball (Womens),Stoko Design,Other,$0.00,product,Stoko Design,Kolby Ritcher,9/28/2021
Lacrosse (Womens),Trainer Sponsor,Camps and Lessons,$300.00,product,2 Wolves Performance,Jack Kensil,9/28/2021
Cross Country,One Pair Of Shoes,Social Media,$130.00,product,On The Run Shoes,Sid Burger,9/27/2021
Basketball (Mens),The Players Trunk,Other,$0.00,product,The Players Trunk,Jason Smith,9/26/2021
Soccer (Womens),GoalFive,Social Media,$50.00,product,GoalFive,GoalFive,10/2/2021
Swimming/Diving (Mens),Partnership,Social Media,$0.00,cash,Vitargo,Bill Julian,9/21/2021
Gymnastics (Womens),received wristbands,Social Media,$20.00,product,Zox,Jasmine Futrell‐Mcgee,9/17/2021
Volleyball (Beach),Athlete Ambassador,Social Media,$100.00,product,IWON Organics,Alexa Martinez,9/14/2021
Gymnastics (Womens),Product promotion,Social Media,$50.00,cash,Iconic apparel,Freedom Wynn,9/14/2021
Baseball,Promotion,Social Media,$0.00,cash,Jocko Fuel,Freja Wilinik,10/13/2021
Swimming/Diving (Mens),Shaving Company Contract,Social Media,$0.00,cash,Leaf shave,Brooke Foley,8/27/2021
Cross Country,Product Trial,Other,$100.00,product,Dæhli,Susan I Dæhlie,8/9/2021
Water Polo (Mens),Sponsorship,Social Media,$400.00,product,Halo Hydration,Tea li,2/16/2022
Swimming/Diving (Womens),Leaf Shave Social Media,Social Media,$600.00,cash,Leaf Shave,Brooke Foley,9/2/2021
Basketball (Mens),Merch,Other,$34.93,cash,The player's Trunk,Jason Lansing,9/5/2021
Swimming/Diving (Mens),Social Media Posts,Social Media,$100.00,product,Red Ace Organics,William Leslie,9/2/2021
Softball,Barstool Sports Athlete Merchandise,Other,"$30,000.00",product,Barstool Sports,Barstool Athletes Store,9/3/2021
Gymnastics (Womens),Too Faced PR package,Social Media,$100.00,product,Too Faced,Elsa Guillen,9/3/2021
Basketball (Mens),T Shirts,Business Ownership/Creation,$0.00,cash,Players Trunk,Jason Lansing,9/2/2021
Track and Field (Mens),Mad Rabbit,Outside Employment,$0.00,cash,Mad Rabbit,Mad Rabit,9/2/2021
Basketball (Mens),Custom Gear,Other,$0.00,cash,The Players Trunk,Jason Lansing,8/31/2021
Gymnastics (Womens),Photoshoot,Other,$500.00,cash,Erin,Dave Eaton,8/11/2021
Swimming/Diving (Womens),Liquid I.V. Influencer Package,Social Media,$107.38,product,Liquid I.V.,Paige Migliori,8/31/2021
Basketball (Mens),Branding Campaign Video,Social Media,"$1,000.00",cash,Notevole Studio,Armani Robinson,8/30/2021
Field Hockey,LEAP Hockey Athlete Program,Social Media,"$1,500.00",product,LEAP Hockey,Ross Gillham Jones,8/29/2021
Basketball (Mens),Gear,Social Media,$0.00,cash,The Players Trunk,Jason Lansing,8/27/2021
Rowing (Womens),Liquid IV,Social Media,$49.46,product,Liquid IV,Caroline Friis,9/3/2021
Soccer (Mens),Pierre Arden Ambassador,Social Media,$200.00,cash,@Pierre.Arden,Instagram,9/3/2021
Golf (Womens),social media ambassador,Social Media,$45.00,product,Liquid IV,Paige Migliori,9/11/2021
Golf (Womens),Ambassador,Social Media,$340.00,product,SParm,Helen Jun,9/11/2021
Track and Field (Mens),Hype & Vice,Social Media,$30.00,product,Hype & Vice,emily@hypeandvice.com,8/25/2021
Business,Revo Sunglasses,Social Media,"$1,400.00",product,Revo Sunglasses,Emily Brush,8/21/2021
Softball,Social Media Advertisement,Social Media,$100.00,product,Body Armor,Body Armor,5/11/2022
Gymnastics (Womens),USAGW gymnastics camp,Camps and Lessons,"$1,500.00",cash,USA Gymnastics World,Emily Schoenwald,8/16/2021
Gymnastics (Womens),Starface PR package,Social Media,$50.00,product,Starface,Timmy Nguyen,9/3/2021
Gymnastics (Womens),Story post,Social Media,$31.97,cash,Star Face,Tyler Nguyen,9/14/2021
Gymnastics (Womens),Product Promotion,Social Media,$50.00,product,Starface Skin Care,Starface,8/13/2021
Gymnastics (Womens),Brand Advertisement,Social Media,$0.00,cash,Oliver Space,Caroline Quinn,8/11/2021
Gymnastics (Womens),Starface x Kyana,Social Media,$40.00,product,Starface,Timmy Nugyen,8/11/2021
Softball,Barstool Athlete,Social Media,"$10,000.00",product,Barstool Athletics,Dave Portnoy,5/11/2022
Soccer (Womens),Nothing,Social Media,$45.00,product,Barstool Sports,Barstool Athletes,8/11/2021
Gymnastics (Womens),VidSig,Social Media,$0.00,cash,VidSig,Christian Duffy,8/30/2021
Gymnastics (Womens),Rideshare Discount,Social Media,$10.00,product,Imperial Vehicle Services,Keith,8/8/2021
Gymnastics (Womens),camp apparell,Camps and Lessons,$200.00,product,USA Gymnastics Wolrd,Emily Schoenwald,8/9/2021
Lacrosse (Womens),"T Shirt, Sweatshirt",Other,$50.00,product,Barstool Sports,Barstool,8/8/2021
Volleyball (Beach),"Saeatshirt, T Shirt, And Sweatpants",Other,"$30,000.00",cash,Barstool Athletes,Dave Portnoy,8/8/2021
Lacrosse (Womens),Barstool Sports Merchandise Purchase,Other,$100.00,product,Barstool Sports,Dave Portnoy,8/14/2021
Gymnastics (Womens),Gifted Clothing,Other,$50.00,product,Mentionables,Emily,8/4/2021
Swimming/Diving (Mens),Scholarship From Maccabie Haifa Sport Club,Other,$600.00,cash,Maccabie Haifa Sport Club,Adi Segal,7/12/2021
Gymnastics (Womens),pinrose purfume,Social Media,$25.00,product,Pinrose,Danielle Valencia,8/26/2021
Gymnastics (Womens),Kyana George,Social Media,$44.95,product,Mentionables,Emily,8/2/2021
Football,Sponser,Social Media,$0.00,cash,Steve Seeley,Steve Seeley,7/29/2021
Field Hockey,Post On Social Media,Social Media,$75.00,product,Jimmy Goats Gabriel,Adam Guenard,7/28/2021
Gymnastics (Womens),topflight camp,Camps and Lessons,"$1,300.00",cash,Performance Plus Events,Ann Grigsby,7/26/2021
Gymnastics (Womens),Vidsig,Social Media,$25.00,product,Vidsig,Christian,8/26/2021
Basketball (Mens),Brand ambassador,Representation Disclosure,$0.00,cash,Dreamfield,Luis Pardillo,7/23/2021
Lacrosse (Womens),Liquid IV Athlete Sponsorship,Social Media,$100.00,product,Liquid IV,Paige Migliori,8/3/2021
Basketball (Womens),MNML Athlete (Brand Ambassador),Social Media,$350.00,product,MNML.LA,Tatiana Evans,10/28/2021
Volleyball (Beach),CROSSNET Athlete,Social Media,$200.00,product,CROSSNET,CROSSNET Team,7/20/2021
Basketball (Womens),Video Chats,Other,$120.00,cash,Vidsig,Christian Duffy,8/2/2021
Volleyball (Beach),T Shirt (?)),Social Media,$10.00,product,Barstool Athletics,Dave Portnoy,7/20/2021
Football,Jewelry Sales,Other,$200.00,cash,Lujo Fino Inc.,Fidel Cabral,7/14/2021
Gymnastics (Womens),Ambassador,Social Media,$150.00,cash,Bang,Bang Energy,7/14/2021
Gymnastics (Mens),Apparel,Other,$200.00,product,Seventh Salvation,Mitchell Douglas,7/9/2021
Softball,Posted on Social Media,Social Media,$0.00,cash,Barstool Athletics,Dave Portnoy,7/19/2021
Track and Field (Mens),TikTok Post,Other,$180.00,cash,Heartbeat & Ad Council,Heartbeat Community,7/12/2021
Track and Field (Mens),Social Media Post,Social Media,$0.00,cash,Barstool Athletics,Na,7/13/2021
Gymnastics (Mens),Sponsorship,Social Media,$1.00,cash,OpenSponsorship,Stephen Kincheloe,10/8/2021
Basketball (Womens),Clutch Lifestyle Co,Other,$0.00,cash,Clutch Lifestyle Co,Brian Kimoto,7/7/2021
Lacrosse (Womens),Barstool Athlete,Social Media,$0.00,cash,Barstool Sports,N/A,8/2/2021
Basketball (Womens),Social Media Post,Social Media,$500.00,product,The Black Athlete,Shaquille Standifer,7/3/2021
Basketball (Womens),Buying Clothes,Other,$0.00,product,Cluth Lifestyle Co,Brian Kimoto,7/3/2021
Swimming/Diving (Womens),Mission UK Tea,Social Media,$100.00,product,Mission UK,Yasmin Li,7/2/2021
Basketball (Womens),Social Media Partnering,Social Media,$70.00,product,Barstool Sports,Barstool Athletics,7/3/2021
Baseball,RJ Green x Artichoke Basille's Pizza,Social Media,"$1,500.00",Cash,Artichoke Basille's Pizza,Jim Trevor,5/3/2023
Baseball,PSD Underwear,Social Media,$100.00,Product/Equity,PSD Underwear,Rob Krager,4/20/2023
Baseball,Bose Product Deal,Social Media,$330.00,Product/Equity,Bose,Joshua Sousa,4/6/2023
Basketball (Mens),Social Media Shoutout,Social Media,"$34,584.00",Cash,Cal legends,Kevin Kennedy,7/24/2023
Basketball (Mens),February Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),February Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$4,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),January Payment,Public Appearance,"$3,430.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),December Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$4,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),November Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$2,000.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),October Payment,Public Appearance,"$1,715.00",Cash,MBB Collective,Scott Elliott,3/24/2023
Basketball (Mens),ProMotion Video,Social Media,$280.00,Cash,ZipRecruiter,Julia Fisch,9/23/2022
Basketball (Womens),Merch,Social Media,$100.00,Product/Equity,LVM LA,lvm la (instagram),7/31/2023
Basketball (Womens),Merch,Social Media,$40.00,Product/Equity,Gisele James,Kaleb James Johnson,6/5/2023
Basketball (Womens),Kids Camp,Camps and Lessons,$300.00,Cash,AZ Family Over Everything,Benjamin Tanner,6/5/2023
Basketball (Womens),Brand Partnership,Social Media,"$10,000.00",Cash,Chips Ahoy,Charles Xavier,2/21/2023
Basketball (Womens),Brand Partnership,Social Media,"$10,000.00",Cash,Chips Ahoy,Charles Xavier,2/21/2023
Basketball (Womens),Spirit Shop,Social Media,"$2,000.00",Cash,Spirit Shop,Charles Xavier,2/21/2023
Basketball (Womens),Maely's Cosmetics,Social Media,"$2,800.00",Cash,Whalar,Rick Bhatia,1/7/2023
Basketball (Womens),Michael kors,Social Media,"$3,200.00",Cash,Whalar,Rick Bhatia,1/7/2023
Basketball (Womens),Therabody,Social Media,"$6,000.00",Cash,Whalar,Rick Bhatia,1/7/2023
Basketball (Womens),Earnest,Social Media,"$8,000.00",Cash,Whalar,Rick Bhatia,1/7/2023
Basketball (Womens),Amazon back To School Campaign,Social Media,"$20,000.00",Cash,Whalar,Rick Bhatia,1/7/2023
Basketball (Womens),Photoshoot/ Social Media Posy,Social Media,$500.00,Cash,Beastmode Apparel,Bryon Sheng,12/23/2022
Basketball (Womens),Promo,Social Media,$250.00,Product/Equity,Mixed Emotion.co,Ron Rice,8/4/2022
Basketball (Womens),Meta Reels Creator Program,Social Media,"$16,000.00",Cash,Meta,rick@whalar.com,7/19/2022
Business,CLC Concierge College Color Days,Social Media,$100.00,Cash,CLC Concierge,Opendorse,9/6/2022
Business,Tempus Ex,Social Media,"$1,250.00",Cash,Tempus Ex,George Ionkov,9/6/2022
Business,CROCS,Social Media,$40.00,Product/Equity,CROCS,Shelby Banks PostGame,8/9/2022
Football,Promotion,Social Media,$120.00,Cash,Cash App,Playbooked Llc,4/7/2023
